rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Solar ECNL GU18/U19,Solar SC,6926,18,16,0,2,50,2.78,128,7,121
2,DKSC ECNL GU18/U19,No Club Selection,6886,20,14,1,5,47,2.35,72,15,57
3,Sting Dallas Black ECNL GU18/U19,Sting Soccer Club,6887,19,13,1,5,44,2.32,62,18,44
4,Challenge SC ECNL GU18/U19,Challenge SC,6877,17,11,5,1,34,2.0,37,22,15
5,Dallas Texans ECNL GU18/U19,Dallas Texans,2886,19,11,5,3,36,1.89,41,28,13
6,FC Dallas ECNL GU18/U19,FC Dallas Youth,46787,21,11,8,2,35,1.67,48,39,9
7,Tulsa SC ECNL GU18/U19,No Club Selection,6934,22,9,10,3,30,1.36,42,60,-18
8,AHFC ECNL GU18/U19,Albion Hurricanes FC,6871,16,5,10,1,16,1.0,25,33,-8
9,Sting Austin ECNL GU18/U19,Sting Austin,10999,21,6,13,2,20,0.95,28,64,-36
10,Classics Elite ECNL GU18/U19,Classics Elite Soccer Academy,8105,21,4,15,2,14,0.67,18,74,-56
11,Sting Dallas Royal ECNL GU18/U19,Sting Soccer Club,46790,20,2,16,2,8,0.4,13,65,-52
12,Oklahoma Celtic ECNL GU18/U19,Oklahoma Celtic,19417,20,1,19,0,3,0.15,13,102,-89
