rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,Ohio Premier ECNL GU13,Ohio Premier,46800,18,12,1,5,41,2.28,44,15,29,GU13,ECNL
2,FC Alliance ECNL GU13,FC Alliance TN,46371,18,10,4,4,34,1.89,38,25,13,GU13,ECNL
3,Internationals SC ECNL GU13,Internationals SC,46797,18,10,5,3,33,1.83,53,28,25,GU13,ECNL
4,WNY Flash Academy ECNL GU13,WNY Flash Academy,12942,18,8,8,2,26,1.44,24,27,-3,GU13,ECNL
5,FC Pride Elite ECNL GU13,No Club Selection,46794,18,6,9,3,21,1.17,23,22,1,GU13,ECNL
6,Racing Louisville Academy ECNL GU13,Racing Louisville Academy,45893,18,6,9,3,21,1.17,12,23,-11,GU13,ECNL
7,Indiana Fire ECNL GU13,Indy Eleven Academy,46796,18,5,12,1,16,0.89,22,42,-20,GU13,ECNL
8,Ohio Elite Soccer Academy ECNL GU13,Ohio Elite Soccer Academy,46798,18,2,13,3,9,0.5,17,44,-27,GU13,ECNL
9,Pittsburgh Riverhounds ECNL GU13,Pittsburgh Riverhounds,46802,18,1,15,2,5,0.28,17,81,-64,GU13,ECNL
1,Internationals SC ECNL GU14,Internationals SC,35240,18,16,1,1,49,2.72,80,12,68,GU14,ECNL
2,Indiana Fire ECNL GU14,Indy Eleven Academy,23407,18,16,1,1,49,2.72,57,10,47,GU14,ECNL
3,Tennessee Soccer Club ECNL GU14,Tennessee SC,35277,18,12,4,2,38,2.11,51,16,35,GU14,ECNL
4,Ohio Premier ECNL GU14,Ohio Premier,33377,17,9,5,3,30,1.76,34,25,9,GU14,ECNL
5,Pittsburgh Riverhounds ECNL GU14,No Club Selection,35276,18,8,9,1,25,1.39,24,24,0,GU14,ECNL
6,Ohio Elite Soccer Academy ECNL GU14,Ohio Elite Soccer Academy,35241,18,5,12,1,16,0.89,17,47,-30,GU14,ECNL
7,WNY Flash Academy ECNL GU14,WNY Flash Academy,35279,17,4,10,3,15,0.88,16,28,-12,GU14,ECNL
